chunk_id,start_frame,end_frame,max_conf,winner_class
1,0,49,0.7198186,2
2,50,99,0.67531663,2
3,100,149,0.7402605,2
4,150,199,0.7063312,2
5,200,249,0.6407974,2
6,250,299,0.628816,2
7,300,349,0.62496704,2
8,350,399,0.65216273,2
9,400,449,0.6214558,2
10,450,499,0.5858841,2
11,500,549,0.6068582,2
12,550,599,0.55396307,2
13,600,649,0.6410186,2
14,650,699,0.6591332,2
15,700,749,0.57656336,2
16,750,799,0.5991613,2
17,800,849,0.6326493,2
18,850,899,0.6305992,2
19,900,949,0.5965306,2
20,950,999,0.6515836,2
21,1000,1049,0.615753,2
22,1050,1099,0.59649044,2
23,1100,1149,0.6031555,2
24,1150,1199,0.6197025,2
25,1200,1249,0.5241363,2
26,1250,1299,0.5688702,2
27,1300,1349,0.5900933,2
28,1350,1399,0.56094843,2
29,1400,1449,0.49234402,2
30,1450,1499,0.63671196,2
31,1500,1549,0.61211175,2
32,1550,1599,0.70581037,2
33,1600,1649,0.62232476,2
